student_id,gender,school_type,prior_gpa,attendance_pct,quiz_avg,assign_avg,midterm,study_hours_wk,on_time_submit_pct,lms_logins_wk,forum_posts,parent_edu,commute_min,final_score,final_grade_band,passed
S0021,Male,Public,2.63,78.2,72.3,70.9,90.5,9.3,83.5,5.9,3,Bachelor,81,70.0,C,1
S0022,Female,Public,3.09,68.5,74.3,53.2,46.0,7.3,79.7,6.2,16,Master,112,53.8,D,1
S0023,Male,Private,2.79,79.6,53.7,70.4,79.2,14.9,91.2,5.8,4,Bachelor,85,70.1,C,1
S0024,Male,Public,2.42,77.2,51.5,78.7,60.6,9.4,96.0,4.8,14,Bachelor,42,71.2,C,1
S0025,Female,Public,3.67,62.0,59.4,57.3,54.0,8.3,86.9,7.5,1,Bachelor,67,56.1,D,1
S0026,Male,Public,2.42,60.3,58.4,77.5,77.2,8.6,92.9,3.3,8,High School,43,76.9,C,1
S0027,Female,Private,2.6,84.8,62.3,73.0,82.2,12.1,74.7,11.2,17,PhD,92,65.0,C,1
S0028,Female,Private,1.69,46.8,77.6,64.9,81.7,11.5,100.0,6.9,9,PhD,87,57.2,D,1
S0029,Female,Private,2.3,80.5,68.0,81.4,71.2,11.7,61.7,2.2,0,Bachelor,75,68.5,C,1
S0030,Male,Private,3.16,72.3,72.4,47.8,70.0,11.7,72.1,5.5,11,High School,46,62.7,D,1
S0031,Male,Private,3.02,93.7,55.3,75.8,75.9,18.6,93.5,6.9,16,Bachelor,20,90.8,A,1
S0032,Female,Public,3.22,72.1,64.5,89.8,72.6,8.4,91.3,4.1,22,High School,73,75.1,C,1
S0033,Female,Public,3.19,85.9,77.0,87.8,76.1,8.0,87.3,1.3,4,Bachelor,40,75.4,C,1
S0034,Female,Private,4.0,73.2,77.1,76.3,71.1,6.7,90.1,2.4,14,None,108,86.3,B,1
S0035,Male,Public,2.28,79.4,61.3,68.7,80.6,12.5,48.7,6.4,5,Master,7,53.9,D,1
S0036,Female,Public,1.67,86.8,71.9,65.0,43.6,14.5,100.0,0.6,4,PhD,101,55.5,D,1
S0037,Male,Private,2.06,72.4,96.4,68.7,66.0,9.5,76.9,1.4,3,None,93,66.6,C,1
S0038,Male,Public,2.31,90.0,69.8,78.0,47.2,6.6,98.7,6.3,22,Bachelor,61,68.6,C,1
S0039,Male,Private,2.12,66.1,61.7,63.1,72.2,6.7,49.5,4.4,27,Master,119,52.2,D,1
S0040,Male,Public,2.87,81.5,67.9,80.3,92.6,12.6,83.8,3.3,19,High School,85,75.9,C,1
S0041,Male,Public,3.68,89.1,71.1,95.5,60.9,13.0,71.5,3.8,11,High School,5,77.8,C,1
S0042,Male,Private,3.88,85.9,68.2,71.3,69.9,12.2,88.6,1.3,28,High School,47,88.3,B,1
S0043,Female,Private,3.15,100.0,69.6,57.2,79.3,7.3,84.8,6.2,14,Master,100,76.7,C,1
S0044,Female,Public,4.0,68.8,52.7,57.2,37.0,10.9,85.5,3.0,15,Bachelor,93,55.0,D,1
S0045,Male,Public,2.55,61.5,58.4,80.5,60.2,10.5,64.1,3.7,19,High School,19,48.2,F,0
S0046,Male,Public,1.66,66.1,68.2,71.3,73.5,10.9,79.1,5.9,19,High School,20,67.0,C,1
S0047,Female,Public,3.54,85.9,68.0,81.6,24.5,13.5,77.3,4.4,14,Bachelor,110,62.3,D,1
S0048,Male,Public,1.51,84.0,63.2,66.1,53.3,10.9,87.4,3.2,14,None,5,56.6,D,1
S0049,Male,Public,2.27,79.2,67.9,81.1,84.5,12.7,94.8,0.0,9,Bachelor,113,81.6,B,1
S0050,Female,Public,3.16,64.5,70.7,70.3,83.0,10.3,82.3,5.9,20,None,64,73.0,C,1
S0051,Female,Public,2.73,87.2,80.7,63.9,73.6,11.2,60.9,5.2,20,Bachelor,96,63.5,D,1
S0052,Female,Public,2.67,63.3,68.8,67.6,81.2,12.5,81.6,3.7,13,Bachelor,25,57.3,D,1
S0053,Male,Public,1.97,91.9,74.8,58.8,71.2,4.2,100.0,2.4,21,Master,41,76.7,C,1
S0054,Male,Public,2.79,100.0,63.5,93.9,76.3,8.7,100.0,5.0,4,High School,87,70.8,C,1
S0055,Male,Public,3.5,82.4,76.9,70.9,63.3,8.1,35.4,6.2,12,Bachelor,19,62.2,D,1
S0056,Female,Private,2.81,85.0,74.5,79.1,69.7,7.4,81.0,5.2,29,Bachelor,12,72.2,C,1
S0057,Male,Private,2.22,72.1,80.4,66.1,58.5,8.9,94.0,9.1,22,Bachelor,73,58.4,D,1
S0058,Male,Private,1.93,56.3,78.6,60.4,87.0,16.0,77.3,6.8,21,High School,1,65.5,C,1
S0059,Male,Public,2.23,70.8,77.1,69.4,90.8,6.5,73.1,4.7,25,None,112,51.6,D,1
S0060,Female,Private,3.07,64.9,68.8,84.1,88.7,13.9,76.0,6.8,18,Bachelor,81,71.5,C,1
S0061,Male,Public,3.04,60.6,72.9,66.3,61.9,3.3,88.3,5.1,19,Bachelor,85,62.8,D,1
S0062,Male,Public,2.24,98.7,82.8,62.4,53.7,8.7,62.8,5.1,14,Master,60,68.3,C,1
S0063,Female,Private,1.25,81.3,62.2,73.7,87.2,10.7,97.8,8.2,24,Master,74,57.1,D,1
S0064,Female,Public,3.09,82.6,62.5,77.5,76.2,12.3,79.2,2.8,21,Bachelor,114,65.1,C,1
S0065,Female,Private,2.17,74.3,72.2,90.1,72.9,12.8,66.0,5.1,15,PhD,0,66.7,C,1
S0066,Female,Private,3.28,75.9,75.0,75.9,58.5,13.2,96.9,8.0,3,Bachelor,29,63.1,D,1
S0067,Male,Public,2.27,89.6,60.1,79.1,74.4,8.6,56.8,5.8,24,None,83,72.7,C,1
S0068,Female,Public,2.11,77.6,69.1,79.9,51.7,8.2,71.7,4.1,9,None,14,57.3,D,1
S0069,Male,Private,2.91,84.4,68.9,59.3,77.5,13.4,71.4,0.7,10,Master,29,65.3,C,1
S0070,Female,Public,4.0,75.6,43.4,61.4,88.7,9.2,100.0,0.0,3,High School,2,67.1,C,1
S0071,Male,Public,3.32,73.9,67.4,60.1,92.5,4.9,69.7,10.2,6,Master,6,62.9,D,1
S0072,Female,Public,2.9,61.1,68.1,57.3,78.6,5.5,47.7,5.8,3,High School,53,43.0,F,0
S0073,Female,Private,3.05,54.3,68.1,80.8,47.3,6.3,71.3,3.5,2,High School,79,57.6,D,1
S0074,Male,Public,1.57,74.9,87.0,75.2,71.0,12.0,86.8,5.9,0,Bachelor,12,56.5,D,1
S0075,Male,Private,2.01,78.7,55.4,72.9,100.0,10.6,91.8,2.6,8,Master,117,70.3,C,1
S0076,Female,Private,1.04,62.6,60.1,43.5,55.0,12.8,100.0,4.2,22,Master,93,47.6,F,0
S0077,Male,Public,4.0,77.6,38.7,94.6,67.1,8.3,100.0,2.6,25,None,79,81.7,B,1
S0078,Other,Public,3.87,78.6,64.2,62.2,89.2,10.6,82.8,1.5,6,High School,8,79.9,C,1
S0079,Male,Private,3.07,52.1,65.3,94.6,77.3,12.5,66.6,0.0,12,Bachelor,62,74.0,C,1
S0080,Female,Public,2.89,67.0,63.9,56.1,100.0,8.8,100.0,1.0,24,Master,110,79.8,C,1
S0081,Female,Public,1.71,82.9,83.3,63.1,57.0,11.8,74.5,7.6,21,High School,28,60.8,D,1
S0082,Male,Public,2.65,82.6,80.3,47.8,53.2,7.4,70.1,2.5,27,Bachelor,64,61.0,D,1
S0083,Female,Private,4.0,64.2,70.9,76.0,86.4,8.5,73.7,6.3,12,High School,67,70.4,C,1
S0084,Female,Private,2.89,79.9,65.6,59.9,50.1,8.5,61.2,7.4,5,Bachelor,83,50.1,D,1
S0085,Female,Public,2.4,90.3,82.3,60.2,65.0,5.2,73.0,5.0,4,High School,110,72.6,C,1
S0086,Female,Public,1.57,87.3,69.8,56.9,67.0,11.9,76.5,4.3,21,PhD,15,62.9,D,1
S0087,Female,Public,3.77,76.9,60.2,80.6,83.5,8.1,91.0,5.3,0,None,7,81.9,B,1
S0088,Male,Private,2.75,72.4,49.4,79.8,77.2,10.0,74.2,4.0,13,Bachelor,10,58.7,D,1
S0089,Male,Public,1.57,70.4,64.7,91.9,74.9,11.9,61.0,8.0,10,Bachelor,32,69.8,C,1
S0090,Male,Private,2.15,83.6,79.1,64.5,62.0,11.8,55.9,9.7,27,High School,42,58.9,D,1
S0091,Female,Private,1.91,80.3,97.3,74.4,86.2,12.7,83.1,8.6,29,High School,105,66.1,C,1
S0092,Female,Public,2.71,85.6,70.7,57.8,100.0,9.6,81.1,0.0,14,Bachelor,62,68.9,C,1
S0093,Male,Private,2.95,79.6,60.8,68.3,78.4,8.3,71.7,3.9,17,Bachelor,89,78.1,C,1
S0094,Female,Private,2.45,87.8,55.8,66.3,69.5,9.7,73.0,5.0,11,Bachelor,69,54.1,D,1
S0095,Male,Private,3.34,79.1,76.6,77.1,48.5,3.3,85.8,6.2,23,Bachelor,114,58.8,D,1
S0096,Female,Public,2.86,87.4,48.8,83.2,58.4,4.2,100.0,0.7,8,High School,39,86.1,B,1
S0097,Female,Private,3.54,88.4,76.6,82.9,64.8,4.7,68.3,0.6,22,Master,80,79.6,C,1
S0098,Female,Public,2.55,68.3,79.8,62.7,60.0,6.0,81.3,8.3,27,High School,32,52.0,D,1
S0099,Female,Private,4.0,56.3,75.2,83.0,67.8,11.6,94.4,3.6,5,Bachelor,28,66.2,C,1
S0100,Female,Public,2.4,96.5,67.4,71.5,94.7,6.4,68.4,1.3,6,Master,117,58.0,D,1
S0101,Male,Public,2.17,81.1,76.8,68.4,86.7,8.5,79.8,2.2,11,Master,2,67.3,C,1
S0102,Female,Private,2.08,57.4,72.1,64.2,65.6,15.2,79.4,6.0,24,High School,32,62.4,D,1
S0103,Male,Public,2.65,69.4,60.7,65.8,49.9,8.6,60.3,2.9,19,High School,46,64.1,D,1
S0104,Female,Public,1.6,87.3,92.2,91.2,88.1,13.0,82.5,5.6,5,Bachelor,16,59.6,D,1
S0105,Female,Private,3.01,74.6,65.8,75.4,67.3,6.3,80.5,2.6,11,High School,92,54.0,D,1
S0106,Male,Public,1.47,71.9,79.3,73.9,42.1,9.2,88.3,0.6,19,Bachelor,43,50.1,D,1
S0107,Male,Private,2.91,94.8,41.0,69.1,78.7,6.2,62.2,8.6,28,Bachelor,55,85.6,B,1
S0108,Male,Private,1.85,65.4,85.3,98.9,83.4,8.6,80.1,6.0,13,High School,36,71.7,C,1
S0109,Other,Public,2.53,68.4,87.6,86.4,31.6,13.4,100.0,4.2,2,High School,107,66.2,C,1
S0110,Male,Public,3.22,80.5,70.4,64.1,55.6,3.1,100.0,3.7,3,Bachelor,50,54.8,D,1
S0111,Female,Private,4.0,82.7,76.7,69.0,66.3,11.7,99.2,8.7,0,Bachelor,94,64.8,D,1
S0112,Male,Private,2.05,84.0,76.7,69.6,79.0,11.0,62.3,6.5,3,High School,74,64.8,D,1
S0113,Female,Public,2.69,88.9,62.3,73.6,60.3,7.6,86.8,7.9,12,High School,114,64.5,D,1
S0114,Female,Private,2.29,80.4,76.6,64.3,55.5,4.2,72.8,3.5,8,High School,72,53.6,D,1
S0115,Male,Public,2.19,83.9,60.3,76.8,78.9,10.3,84.3,5.1,9,Bachelor,118,62.9,D,1
S0116,Female,Public,2.3,74.9,62.7,88.0,61.0,7.9,68.4,6.0,22,Bachelor,83,52.6,D,1
S0117,Male,Private,3.38,78.8,83.5,57.6,76.1,10.9,54.3,3.6,14,Master,7,63.3,D,1
S0118,Female,Public,2.46,79.3,81.7,59.6,51.3,10.1,74.8,4.8,21,PhD,18,70.8,C,1
S0119,Male,Public,4.0,80.6,61.5,66.7,47.7,16.4,90.8,3.5,16,Bachelor,94,68.4,C,1
S0120,Female,Public,3.09,87.3,61.2,67.2,79.3,9.0,84.3,6.0,6,Master,5,69.5,C,1
S0121,Male,Private,2.09,84.7,62.3,94.0,71.8,5.9,86.0,1.7,28,High School,22,63.5,D,1
S0122,Female,Public,2.54,78.5,78.8,83.0,81.8,10.7,83.2,6.4,14,Bachelor,94,77.4,C,1
S0123,Male,Public,2.24,68.3,58.0,82.4,60.0,10.9,86.1,5.8,25,Bachelor,42,51.7,D,1
S0124,Female,Public,3.36,78.8,74.3,69.1,56.1,15.4,87.9,4.5,2,Bachelor,26,80.8,B,1
S0125,Male,Public,1.65,77.7,79.0,68.9,88.4,13.3,75.9,6.1,25,Bachelor,23,60.8,D,1
S0126,Male,Private,1.86,80.3,68.9,56.0,45.2,11.4,81.2,4.1,21,High School,37,52.1,D,1
S0127,Female,Public,2.39,100.0,82.1,80.6,86.8,15.9,100.0,3.3,7,Master,100,96.9,A,1
S0128,Male,Public,3.28,71.7,66.3,77.4,87.8,5.2,82.1,6.4,23,Master,54,62.5,D,1
S0129,Female,Private,3.66,83.1,67.4,86.1,80.9,7.4,80.6,6.5,22,Master,114,83.1,B,1
S0130,Female,Public,3.77,90.8,58.3,69.7,57.7,6.3,81.5,3.7,26,Bachelor,85,78.3,C,1
S0131,Male,Public,3.17,79.2,82.2,70.4,55.8,8.4,76.7,3.5,6,PhD,32,69.8,C,1
S0132,Female,Private,2.74,100.0,60.8,73.9,64.8,4.5,73.5,4.5,26,Bachelor,19,65.2,C,1
S0133,Male,Private,3.36,73.5,74.2,81.8,48.6,12.5,83.1,3.6,22,Bachelor,113,85.6,B,1
S0134,Female,Public,2.0,81.9,69.1,55.8,53.6,9.1,72.4,8.8,10,High School,108,54.0,D,1
S0135,Female,Private,1.51,68.4,57.4,80.1,77.7,4.1,77.8,5.8,10,Master,14,52.1,D,1
S0136,Male,Public,3.11,73.8,62.7,71.8,77.7,5.9,68.1,5.0,7,Bachelor,38,61.6,D,1
S0137,Male,Private,2.1,81.0,86.6,60.4,52.3,11.3,81.6,2.7,14,Bachelor,89,61.9,D,1
S0138,Female,Public,2.75,88.2,72.4,49.1,78.1,13.4,88.8,6.8,26,PhD,117,79.2,C,1
S0139,Female,Private,2.88,81.8,57.9,70.5,74.8,18.0,76.8,3.5,25,High School,108,70.4,C,1
S0140,Male,Public,2.97,93.1,73.7,87.9,90.6,21.7,49.9,3.4,4,Bachelor,34,68.9,C,1
S0141,Male,Private,3.46,76.9,68.2,90.4,76.5,11.7,88.9,6.9,3,High School,107,81.8,B,1
S0142,Male,Private,3.38,74.0,100.0,75.9,83.9,6.0,81.8,6.0,1,Bachelor,87,68.7,C,1
S0143,Female,Private,2.94,100.0,73.4,93.6,75.2,1.5,65.1,0.0,18,High School,55,77.8,C,1
S0144,Female,Private,2.49,82.7,65.4,71.5,82.7,11.1,91.6,4.6,9,High School,45,70.2,C,1
S0145,Male,Public,2.88,69.4,87.0,82.5,48.7,6.7,59.0,5.3,22,High School,97,67.2,C,1
S0146,Female,Public,2.38,69.7,47.9,67.0,66.2,8.3,95.7,4.2,22,None,100,49.1,F,0
S0147,Female,Public,2.66,66.7,71.1,66.3,67.4,7.6,79.1,5.4,5,None,109,55.3,D,1
S0148,Female,Public,4.0,89.2,93.9,64.5,64.3,9.4,46.0,0.5,20,Bachelor,55,74.4,C,1
S0149,Male,Private,2.93,73.6,68.6,49.3,74.7,14.3,82.7,0.0,22,High School,32,55.9,D,1
S0150,Male,Private,3.12,79.5,49.2,86.2,77.5,10.6,73.9,2.6,29,None,104,78.1,C,1
S0151,Male,Public,2.31,77.2,65.2,64.9,73.9,9.4,71.6,5.7,21,None,36,48.1,F,0
S0152,Female,Public,3.51,86.8,87.5,63.2,65.3,5.9,68.9,0.0,10,High School,90,80.0,B,1
S0153,Male,Private,3.33,67.8,74.5,59.0,57.0,3.3,78.1,2.9,29,None,61,62.2,D,1
S0154,Male,Public,3.34,65.1,59.9,69.8,84.5,8.1,72.7,0.2,8,Master,70,64.5,D,1
S0155,Female,Public,2.95,80.7,61.8,91.4,73.2,9.8,52.1,4.4,24,Bachelor,25,70.2,C,1
S0156,Female,Public,3.52,85.2,63.3,95.0,52.7,17.1,99.1,9.9,11,High School,29,82.6,B,1
S0157,Male,Public,3.69,82.0,74.3,53.7,65.1,10.5,76.3,4.5,28,Bachelor,78,68.7,C,1
S0158,Male,Private,3.0,68.3,86.1,68.1,41.9,13.9,69.0,4.7,23,High School,31,65.1,C,1
S0159,Male,Public,2.72,86.1,82.6,60.6,68.5,8.0,63.1,7.1,17,Bachelor,80,71.2,C,1
S0160,Male,Public,3.43,69.1,75.5,82.9,65.0,5.3,91.6,5.1,6,PhD,118,61.5,D,1
S0161,Male,Public,2.17,71.7,54.0,75.2,59.4,6.1,60.5,4.5,5,High School,9,53.0,D,1
S0162,Male,Public,2.3,66.7,54.1,65.0,91.8,7.1,82.0,7.3,28,High School,111,38.9,F,0
S0163,Male,Public,2.76,93.6,76.4,72.8,50.7,18.5,71.2,6.2,24,Bachelor,20,58.3,D,1
S0164,Female,Public,1.58,85.6,53.9,66.7,78.6,6.7,72.1,5.7,15,High School,16,59.3,D,1
S0165,Female,Private,3.38,85.3,67.3,89.8,100.0,13.4,63.4,4.7,26,High School,100,79.8,C,1
S0166,Male,Private,2.13,93.0,73.6,78.0,84.2,6.4,70.7,4.1,23,Bachelor,24,61.1,D,1
S0167,Female,Public,2.47,100.0,56.3,79.4,67.5,13.7,80.1,7.3,11,Bachelor,77,71.4,C,1
S0168,Male,Public,2.65,57.5,57.7,42.7,51.0,11.5,83.5,4.2,24,High School,12,46.9,F,0
S0169,Female,Private,2.83,69.1,68.9,71.3,47.6,9.4,68.2,8.1,23,Master,10,49.6,F,0
S0170,Female,Public,2.56,70.6,76.0,94.9,61.8,9.8,78.6,2.4,14,High School,24,52.8,D,1
S0171,Female,Public,2.75,67.8,82.7,86.6,57.7,7.4,93.3,8.6,0,High School,62,50.0,D,1
S0172,Female,Public,2.76,65.1,77.3,51.7,57.2,11.8,55.1,6.2,22,Bachelor,34,61.8,D,1
S0173,Male,Public,2.49,74.4,70.9,68.6,63.1,8.2,79.9,2.6,10,Bachelor,26,57.1,D,1
S0174,Male,Private,2.26,63.4,61.0,58.8,66.5,5.1,65.7,6.3,10,Bachelor,100,56.2,D,1
S0175,Female,Public,3.56,82.0,57.1,90.8,75.3,4.9,64.2,3.4,21,Bachelor,20,67.0,C,1
S0176,Male,Private,1.33,78.6,63.9,74.7,49.4,10.7,83.9,5.1,24,Bachelor,11,54.2,D,1
S0177,Female,Private,2.66,83.8,74.9,63.6,57.8,16.3,71.8,3.8,2,Master,13,66.8,C,1
S0178,Male,Private,2.47,84.1,74.0,72.4,65.6,10.6,61.7,4.7,24,Bachelor,105,64.6,D,1
S0179,Male,Private,3.09,85.2,44.8,43.3,65.1,9.5,99.9,7.4,8,High School,57,64.1,D,1
S0180,Female,Private,1.78,73.5,60.6,60.1,95.5,11.1,93.8,6.3,16,Bachelor,116,59.2,D,1
S0181,Female,Public,2.45,100.0,84.5,72.4,71.5,15.2,51.0,2.2,26,High School,96,64.7,D,1
S0182,Female,Private,2.73,80.8,71.0,81.3,43.8,10.9,57.9,2.3,6,Bachelor,33,66.6,C,1
S0183,Female,Public,3.55,55.7,53.0,50.6,74.3,8.4,88.9,5.7,6,High School,94,72.6,C,1
S0184,Female,Private,3.03,66.0,98.3,67.8,76.2,14.4,75.7,5.9,29,Bachelor,54,86.2,B,1
S0185,Male,Public,1.97,57.1,69.7,83.1,66.1,11.7,100.0,3.3,11,Bachelor,67,54.4,D,1
S0186,Female,Public,2.46,78.2,74.6,56.0,49.8,16.1,89.2,9.0,28,Bachelor,63,58.0,D,1
S0187,Male,Public,3.42,76.5,74.8,74.5,94.4,10.7,84.5,7.0,10,None,90,74.9,C,1
S0188,Male,Public,1.96,72.4,65.6,72.7,52.0,5.1,64.7,3.4,18,High School,24,47.4,F,0
S0189,Other,Public,2.74,100.0,61.3,90.9,77.9,4.5,87.4,3.2,15,Master,7,73.0,C,1
S0190,Male,Public,2.79,84.6,95.5,69.5,71.0,16.6,60.9,4.4,29,PhD,87,68.0,C,1
S0191,Male,Public,2.53,86.7,82.0,70.1,77.0,16.9,99.6,4.2,16,Bachelor,114,66.9,C,1
S0192,Male,Public,4.0,66.8,79.9,81.4,93.6,9.3,86.3,8.1,15,None,69,82.0,B,1
S0193,Other,Public,2.51,66.0,76.9,57.4,76.4,8.5,67.6,7.5,13,High School,14,32.1,F,0
S0194,Female,Public,3.11,78.4,58.0,69.6,59.6,15.8,92.1,5.1,11,Bachelor,13,69.2,C,1
S0195,Male,Public,2.26,80.1,85.3,67.0,84.6,5.6,100.0,6.7,13,None,65,61.0,D,1
S0196,Female,Public,3.17,55.7,59.9,70.5,58.5,6.4,76.7,7.1,13,Master,107,61.4,D,1
S0197,Male,Public,3.41,75.8,73.4,81.3,70.5,12.6,88.3,5.1,22,Bachelor,73,83.9,B,1
S0198,Female,Public,2.39,78.2,50.3,78.1,48.6,8.4,73.5,6.0,1,High School,36,62.6,D,1
S0199,Female,Private,2.76,75.4,45.5,63.8,52.5,10.0,81.3,6.5,15,High School,74,53.6,D,1
S0200,Male,Public,2.17,68.2,73.8,73.5,68.8,9.3,57.4,6.2,16,None,18,47.9,F,0
S0201,Female,Public,2.0,71.5,60.3,88.4,73.5,11.4,80.0,3.1,22,Bachelor,57,55.1,D,1
S0202,Female,Public,3.53,75.9,46.1,62.9,42.5,15.6,80.7,3.3,19,Bachelor,117,65.9,C,1
S0203,Male,Private,2.41,79.1,76.5,73.6,75.5,10.4,100.0,4.3,12,High School,75,57.1,D,1
S0204,Male,Public,1.11,85.3,95.4,69.9,55.7,12.6,53.1,3.2,3,Bachelor,12,66.5,C,1
S0205,Female,Public,4.0,91.0,86.7,71.3,87.2,1.8,75.8,1.3,11,High School,24,78.3,C,1
S0206,Male,Public,2.24,74.5,66.9,54.1,62.7,9.8,99.3,6.7,7,Bachelor,7,62.7,D,1
S0207,Male,Public,2.63,72.5,70.1,87.5,51.1,6.6,76.4,5.9,6,Master,48,45.7,F,0
S0208,Female,Public,3.95,83.3,80.7,63.5,69.1,5.1,77.4,1.7,21,High School,28,67.1,C,1
S0209,Male,Private,2.7,85.3,83.5,83.3,54.3,6.5,67.5,4.4,14,High School,117,50.5,D,1
S0210,Male,Private,2.69,72.8,65.9,65.2,87.0,8.7,66.0,4.5,23,Master,38,71.8,C,1
S0211,Male,Public,1.94,87.5,70.4,65.1,68.0,13.7,52.6,5.5,4,High School,4,59.8,D,1
S0212,Male,Public,1.66,89.8,73.6,85.3,65.7,4.7,70.6,2.3,29,High School,52,63.1,D,1
S0213,Female,Public,2.68,93.5,76.6,82.9,76.9,10.1,65.2,1.6,14,Master,88,74.0,C,1
S0214,Female,Private,3.05,99.3,68.4,74.3,52.9,8.1,81.8,6.3,7,Bachelor,82,74.0,C,1
S0215,Male,Private,3.01,67.6,68.6,80.4,48.7,8.7,68.2,1.2,10,Master,117,56.6,D,1
S0216,Female,Public,2.46,78.2,86.6,68.8,74.1,14.0,72.8,4.4,25,Bachelor,43,68.2,C,1
S0217,Male,Public,2.81,78.1,84.5,71.9,51.5,12.2,73.2,4.2,21,Bachelor,62,65.4,C,1
S0218,Male,Public,1.51,76.8,75.7,64.7,51.5,15.3,79.3,4.7,5,None,67,59.1,D,1
S0219,Female,Private,3.12,70.2,90.6,81.9,80.6,9.4,72.1,5.6,29,High School,2,76.6,C,1
S0220,Male,Public,2.91,60.2,65.4,64.4,75.9,7.2,64.1,9.0,3,Bachelor,0,79.3,C,1
S0221,Female,Public,4.0,79.1,89.5,88.3,49.2,9.1,81.3,1.0,8,High School,95,90.1,A,1
S0222,Male,Public,2.81,68.8,76.5,68.5,58.7,11.0,96.0,7.2,21,Bachelor,46,51.3,D,1
S0223,Female,Public,2.14,79.0,100.0,72.2,54.4,10.7,81.9,0.0,15,High School,82,63.8,D,1
S0224,Female,Private,2.76,68.5,55.7,80.3,94.6,5.7,70.9,8.5,13,None,113,60.8,D,1
S0225,Male,Public,2.57,64.8,61.7,72.3,81.6,10.4,78.2,0.0,27,Bachelor,29,72.1,C,1
S0226,Female,Public,3.1,80.8,75.0,68.7,61.7,10.9,49.2,11.1,23,Bachelor,92,63.1,D,1
S0227,Male,Private,2.82,79.8,74.8,71.7,76.6,20.1,77.9,4.0,28,High School,25,80.2,B,1
S0228,Male,Public,1.92,85.0,93.4,81.8,47.7,17.5,74.0,8.2,8,Bachelor,88,49.6,F,0
S0229,Male,Private,1.65,100.0,62.0,64.7,57.9,6.6,66.0,7.7,25,High School,19,43.9,F,0
S0230,Female,Private,2.98,81.3,80.9,70.6,69.6,8.9,68.7,3.9,6,None,36,84.8,B,1
S0231,Female,Public,3.77,83.8,83.9,72.1,74.8,4.1,73.8,4.1,24,Master,56,75.4,C,1
S0232,Other,Public,2.86,65.1,78.5,81.5,66.5,7.6,94.9,2.9,16,Master,58,58.2,D,1
S0233,Female,Public,3.37,62.6,58.5,70.9,71.7,11.3,96.4,7.0,17,High School,3,69.4,C,1
S0234,Male,Private,3.51,97.0,86.9,91.9,69.2,14.8,66.1,3.9,3,High School,101,77.7,C,1
S0235,Female,Private,2.99,66.9,84.8,70.3,65.5,7.1,72.2,3.0,26,Master,0,61.3,D,1
S0236,Female,Public,2.23,65.5,77.2,69.4,63.6,7.4,72.6,6.3,8,Bachelor,105,44.4,F,0
S0237,Female,Private,2.94,77.5,72.5,70.1,61.6,1.4,92.1,2.8,17,High School,24,55.7,D,1
